"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"21","31","Amer. plaice(=Long rough dab)","Hippoglossoides platessoides","14782","26054","28367","29408","22790","26851","30079","42301","42042","44623","42910","38210","26115","62396","56795","82196","97245","110407","124938","126189","117714","110368","98990","97247","92674","81862","95918","91366","92900","92461","91963","90830","84861","70206","72607","77831","87245","84398","62976","66717","42105","44753","28229","17827","8906","8489","7879","8948","8800","9891","10480","11122","9196","8419","5602","5276","3464","3766","3933","4126","4446","3252","3376","4131","3008","2782","2855","2831","1569","1835.462"
"21","31","Yellowtail flounder","Limanda ferruginea","10938","8360","7705","6248","5789","6519","6643","10185","15116","13522","15055","20971","31083","41608","43481","50506","49184","44459","62663","65532","67040","70112","79400","66373","50784","44288","28645","30050","29728","37421","34922","33482","37121","45058","29701","30230","32639","24136","20828","16690","26603","21353","18271","12313","5946","3476","3783","5273","9480","13957","20977","24258","18872","21428","20806","18331","2949","7042","13705","7865","11523","7394","5313","10375","8712","7319","7542","8970","1164","830.861"
"21","32","Atlantic cod","Gadus morhua","722777","646090","821716","773515","962703","895540","959534","954254","885262","952784","1137560","1307849","1342537","1374250","1390625","1453504","1474844","1684109","1864042","1497323","1162722","1056636","1039259","808448","791046","638980","524639","468666","481566","572235","596753","617479","704274","693089","644413","645103","669273","601307","627441","644015","563835","431314","253025","114576","51172","31090","33114","46901","52859","68668","63206","60073","55295","41137","39506","41544","44031","51176","61687.238","44067.756","42459.655","44324","38049","45212","52430.48","62019","74298","68703","57330","55013.606"
"21","32","Haddock","Melanogrammus aeglefinus","104322","100701","137055","121323","156877","195052","190058","167388","134929","128788","159226","178682","138294","125674","141916","248779","203864","117270","97452","72758","48054","48934","28966","26236","23240","28483","25662","39904","61315","54208","79893","82614","67132","55643","48112","50197","54624","34815","35619","30521","25525","24611","24752","13970","7306","8377","10923","11358","14655","13723","16710","21555","22817","22967","24307","28194","20283","22929","27098.043","29282.981","32276.473","20983","11381","10468","20999.29","23405","21241","24566","23863","27896.527"
"21","32","Silver hake","Merluccius bilinearis","30533","54466","49187","40653","43207","53920","42604","60347","50532","52250","50622","45689","98393","276593","308087","386600","265629","122611","99390","142311","222030","235668","233400","434937","225283","232091","177548","112667","85826","72704","62437","63258","78574","53296","95924","98788","102167","77901","90713","105873","90843","82794","45305","45957","24378","35007","43318","33595","31806","27591","25941","32898","24238","20241","22516","18858","17862","18416","18715","18324","16346","16596","17219","14201","14848","14197","14258","12942","12831","11260.433"
"21","31","Greenland halibut","Reinhardtius hippoglossoides","500","500","500","600","600","700","1100","900","1300","1700","1585","2202","2100","6606","9861","16756","20948","29794","37074","42515","40028","30121","44814","39623","43058","55465","42613","49647","57743","63190","48709","40231","34952","35919","36665","34121","33083","47488","33431","33702","60141","68929","99536","83749","83088","43931","50623","55989","52488","69874","64604","61431","64482","71859","57914","59079","62072","57481","53302.987","53809.373","58268.695","58504","57581","58398","65405.08","62167","68206","61382","66245","70494.82100000001"
"21","31","Witch flounder","Glyptocephalus cynoglossus","4589","4425","4617","7444","6773","8193","7501","2103","1505","1633","17957","15935","16110","14217","18332","26401","34340","46204","54461","39526","41441","61139","48184","53767","39786","34368","34072","26852","22001","18310","15523","13926","14354","15860","18343","22661","24197","22868","20534","16834","14530","14307","14148","10477","5171","4957","5587","5153","5783","5766","6447","7272","7076","7114","5579","5468","3821","2971","2926","2645","2709","2510","2562","2133","2117","2086","2642","2284","942","1356.395"
"21","31","Winter flounder","Pseudopleuronectes americanus","13913","11318","10402","7893","7681","7282","8780","8565","8781","8674","10062","15195","14354","12290","14446","17230","18492","17097","11829","17268","17012","19807","14948","14722","12226","11769","11373","13426","14953","15102","20716","22994","18331","18307","15838","13774","14492","15543","12600","11475","11647","11999","9913","7934","7040","6833","7063","7890","6686","6400","8210","9187","7652","7769","6639","5157","4119","4272","3893","3725","3622","3933","3664","4704","3845","3372","2415","1937","896","584"
"21","31","Flatfishes nei","Pleuronectiformes","1048","1164","1272","1386","1522","1886","2269","2810","1298","1563","7611","9669","6583","6212","4975","3604","5400","6264","5832","4554","2216","1882","3367","4786","4419","7940","5326","3860","4915","2346","4440","2776","6190","6138","6291","7217","9914","9856","9566","4769","6126","6466","7138","10819","7172","2263","1902","1414","1468","1182","1098","996","3474","2907","2796","1534","1249","1216","1162","492","486","341","199","208","173","65","52","83","9953","7732"
"21","32","Tusk(=Cusk)","Brosme brosme","2432","2479","2478","2086","1759","1774","2033","1793","1945","2819","3621","4356","3907","3197","5781","6030","7222","7147","4905","4236","5078","6544","7040","7626","7298","7508","4752","4885","7119","6790","6617","7883","8219","6305","4913","4766","3996","5362","4017","4338","4768","5920","6675","4395","2773","2791","1871","2244","1995","1295","1285","1678","1437","1257","997","1003","953","1133","695.896","658.034","510.976","511","535","433","261.52","254","234","213","214","137.394"
"21","32","White hake","Urophycis tenuis","17580","15751","18529","16564","14042","13329","16233","12306","12626","11872","10977","11296","11243","11141","12937","9975","10997","9254","7645","8543","11875","22542","21051","18776","18065","20540","17014","17999","17851","18152","24964","26442","24663","21713","23989","27195","25383","30751","18515","18533","19822","19443","22005","17669","12108","10855","8295","6836","5960","6374","8157","8322","12797","14177","7802","7669","5990","4773","4482","3881","4109","5030","4602","3417","3216","2887","2956","3458","2101","2061.968"
"21","32","Saithe(=Pollock)","Pollachius virens","25234","19404","26427","27346","70358","80505","87743","75395","40821","38934","46318","40852","43447","43238","48783","38356","36129","24390","23825","25806","24697","28423","33908","44062","38869","39617","39581","39527","45866","48149","56029","58203","53581","48576","53918","66052","78065","74536","63134","58037","50137","51506","43270","28011","19347","13635","12827","16945","20686","13154","10611","11312","11334","13739","14194","14636","10968","15309","15769.011999999999","13018","10552","12735","12527","8952","7769","7106","6265","6601","6785","6102"
"21","31","Summer flounder","Paralichthys dentatus","5124","5287","6954","6965","7362","7160","8197","7598","8905","8936","6499","7941","6163","4963","4440","4487","4609","3945","2961","2076","2636","3304","2893","4522","6383","7634","10784","8923","8481","14234","10704","8123","9406","11757","14149","12804","11080","11626","13500","7860","4045","6312","7622","5771","4961","6990","5741","3895","4981","4758","4994","4858","6448","6490","8234","7826","6327","4434","4085","4886","5955","7205","5670","5400","4905","4810","3553","2605","2805","4110"
"21","34","Atlantic redfishes nei","Sebastes spp","110654","139573","109049","110808","126406","130509","130245","168651","331725","389008","291765","236430","198050","203114","189831","211772","210010","216711","177965","215934","222304","265169","282837","307372","227708","211251","174973","157406","130079","143112","115844","129143","125409","115289","124395","127751","165208","208155","152552","164726","184292","165714","161524","135731","67833","31504","26776","23914","33723","34308","47156","49626","56586","67017","31538","37882","34138","23055","21718","27588","31243","33505","35743","30914","31849","34362","35362","40041","40277","43881.443"
"21","35","Atlantic herring","Clupea harengus","219647","152087","203183","152465","157856","139138","156087","172202","186898","163456","181197","182103","344793","285440","306108","265897","429774","594756","946840","970560","849334","746883","547120","485361","433049","448338","322520","281759","296637","252949","260400","224556","180372","165720","166065","219388","223305","287195","321002","283865","314920","279292","276117","254330","255445","271425","281922","282197","272925","281589","275295","295745","252684","296396","268363","260052","280934","241639","219344","257038","215612","214630","200972","219585","206294","193732","181101","150280","142445","84727"
"21","35","Atlantic menhaden","Brevoortia tyrannus","250913","263545","276135","480670","512683","525710","554640","513107","391071","508201","436511","471622","514447","286772","215766","231777","136045","122399","163459","102265","223100","221200","331606","330500","259145","199575","297873","289750","263436","284599","331625","262566","311001","336379","324978","311674","222485","297178","326524","325894","394463","346310","313109","327241","249047","363289","305664","290948","275288","208084","208752","260609","210893","203088","214062","194150","183742","217198","189100","183586","229572","227072","224460","167544","174032","200653","177997","179541","188168","195802"
