"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","31","Common sole","Solea solea","600","600","1100","500","900","800","1000","900","3100","3000","3400","4000","4500","4900","4800","7600","5500","4600","4900","4800","4482","4483","4943","5100","5110","5261","6154","6110","5695","6250","6963","6225","6638","7091","8562","9389","10252","9197","8631","9013","9429","9635","9685","8867","8454","9198","6949","5917","5047","4179","5169","4977","5548","6272","5340","5246","6403","6322","5768","6373","6287","5897","5370","5056","5270","5460","5807.951","5451.416","5227","4999.15"
"37","32","Whiting","Merlangius merlangus","0","0","0","0","0","0","0","0","1000","600","600","900","900","0","800","800","1800","3000","4800","5000","4541","6338","5716","2831","4193","4739","5197","7793","23808","33836","10474","8131","6882","16110","18282","23203","23926","32907","33720","23827","21925","22777","21624","21279","17423","18675","22059","16038","14030","14643","18661","11045","9775","8609","8616","10443","11206","15261","14470","13330","15861","11948","9584","11318","10842","14424","12937.182","9799.619999999999","8584.21","10272.902"
"37","33","Flathead grey mullet","Mugil cephalus","2100","2100","1600","2500","2600","3000","2600","2200","2700","2700","2700","2800","2000","2000","2100","2100","2200","2900","3000","3100","1515","1750","3707","3744","1435","1679","1816","2735","2185","2053","2792","2774","3397","3517","3593","3840","4548","3782","3977","4958","5197","7284","6557","6534","5536","5177","5768","5546","4982","4622","6285","3079","4550","3121","5280","6181","6616","6079","4298","5624","3338","1831","1859","1709","1873","1956","3447","3880","3731","3414.3"
"37","33","European seabass","Dicentrarchus labrax","0","0","0","0","0","0","0","0","600","600","700","1000","900","800","1000","1200","1300","1000","1000","1100","980","1163","1458","1722","1485","1532","1479","1766","1812","1876","2038","1613","2212","1864","2272","3649","3320","3369","2878","2842","2504","2797","3106","3992","3140","5649","3754","3025","2927","3309","3698","4415","5797","5773","5410","2572","3425","3204","2303","2404","2555","1909","1736","1674","1559","1241","1263.076","1100.121","1055","1078.098"
"37","33","Gilthead seabream","Sparus aurata","0","200","0","200","100","100","300","200","1300","1200","900","900","1300","1200","1800","2000","2000","2100","2000","2300","2334","2031","2605","1985","2307","3267","2851","3554","3996","2286","3159","2997","2846","3490","3635","3722","3715","3202","3622","3742","3573","4183","5144","5182","5957","4720","4490","4328","4568","5751","5332","6060","6879","6977","7271","4731","5193","4790","5576","5455","5489","4805","5113","5201","4892","5956","5872","6267","5908","5534.915"
"37","33","Picarels nei","Spicara spp","9000","7100","7000","7800","9900","10100","10200","10000","14900","15100","14400","15200","15900","15300","16200","16200","17200","17900","17300","17600","17417","16843","17399","16555","16604","17782","18455","18218","16480","14936","13971","13790","15009","15779","13548","13705","12916","14314","14592","15895","16428","17447","16668","15599","21621","10168","12312","12254","13147","9324","8192","8928","6900","7089","7451","10399","8523","7765","7414","7134","6132","5021","5220","4724","4792","2888","2797","2310","2402","2496.617"
"37","33","Red mullet","Mullus barbatus","0","0","0","0","0","0","0","0","1000","1000","1000","1100","1700","1000","1000","1700","1400","2000","1700","2100","2800","785","1514","1637","1708","1565","1475","1981","2716","1638","3106","3429","5506","5147","3592","5758","8854","8254","9544","12633","8871","10609","9730","8875","8626","7665","7826","6957","6622","7353","6243","7208","6718","6939","6946","17121","17263","17709","15255","16269","15135","14324","15454","13944","14801","15290","16018","15617","16092","14503.815"
"37","32","European hake","Merluccius merluccius","9600","10400","14300","12200","11800","10700","10200","10600","15400","15700","14100","15000","13400","14900","15100","15500","15900","15900","15800","17300","18483","19941","21302","18637","22320","22489","24831","26625","25019","22530","24407","26831","30970","36389","41535","47985","37915","39197","41896","38197","33567","38175","44437","51719","52394","52008","43816","29956","26545","24144","22558","23322","21680","21297","21871","27434","32425","28038","27510","29798","25374","22630","21460","23600","20993","20309","19525.421000000002","19079.948","20170","19342.35"
"37","33","Mullets nei","Mugilidae","8300","10600","9100","10800","10500","10000","10300","10600","9800","9300","9900","11800","12300","11700","12500","11700","12300","15700","14000","13500","16994","14811","12524","11897","12785","12894","13569","14162","14093","16207","15782","17296","17232","17132","14315","13870","13253","15717","14237","17911","20368","23974","23138","21304","23900","27256","34003","31048","35982","35650","35750","33593","27736","24063","24930","22046","18429","19266","13730","13185","14732","14894","16889","14229","12908","9432","9413.886","6310.724","6799","8082.817"
"37","33","Common pandora","Pagellus erythrinus","800","900","800","800","800","800","800","800","800","800","800","1000","900","1300","1200","900","1000","1000","1400","1500","3984","3408","4618","4838","5082","4692","6545","6417","6613","5970","7874","9075","10720","10317","11095","11400","5156","4635","4193","3370","3634","3172","3609","3173","2282","3693","4592","5553","4803","4622","5673","4995","4937","5750","5258","5226","4644","5413","6620","12473","13311","9509","11229","11292","10167","10661","11785.546","12397.137999999999","11658","11735.100999999999"
