"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","31","Common sole","Solea solea","600N","600N","1100N","500N","9000","8000","10000","9000","3100N","3000N","34000","4000N","4500N","49000","4800N","7600N","55000","46000","49000","4800N","44820","44830","49430","51000","51100","52610","61540","61100","56950","62500","6963E","6225E","6638E","7091E","8562E","9389E","10252E","9197E","8631N","9013E","9429N","9635N","9685N","8867N","8454N","9198N","6949N","5917N","5047N","4179N","5169N","4977N","55480","62720","53400","5246N","6403N","6322N","5768N","6373N","6287N","5897N","5370E","5056E","5270E","5460N","5807.951N","5451.416N","5227N","4999.15E"
"37","32","Whiting","Merlangius merlangus","00","00","00","00","00","00","00","00","10000","6000","6000","9000","9000","0N","8000","8000","18000","30000","48000","50000","45410","63380","57160","28310","41930","47390","51970","77930","238080","338360","104740","81310","68820","161100","182820","232030","239260","329070","337200","238270","219250","227770","216240","212790","174230","186750","220590","160380","140300","146430","186610","110450","97750","86090","86160","10443E","11206N","152610","14470N","133300","158610","119480","9584N","11318E","10842N","14424N","12937.1820","9799.619999999999N","8584.210","10272.902N"
"37","33","Flathead grey mullet","Mugil cephalus","21000","21000","16000","25000","26000","30000","26000","22000","27000","27000","27000","28000","20000","20000","21000","21000","22000","29000","30000","31000","15150","17500","37070","37440","14350","16790","18160","27350","21850","20530","27920","27740","33970","35170","35930","38400","4548E","3782E","3977E","49580","51970","7284E","65570","65340","55360","51770","57680","55460","49820","46220","62850","30790","45500","31210","52800","61810","66160","60790","42980","56240","3338E","1831E","1859E","1709N","1873N","1956N","3447E","3880E","3731E","3414.3N"
"37","33","European seabass","Dicentrarchus labrax","00","00","00","00","00","00","00","00","6000","6000","7000","10000","9000","8000","10000","12000","13000","10000","10000","11000","980N","11630","14580","17220","14850","15320","14790","17660","18120","18760","20380","16130","22120","18640","22720","36490","33200","33690","28780","28420","25040","2797E","31060","39920","3140N","5649N","3754N","3025N","2927N","33090","3698N","4415N","57970","5773N","54100","25720","3425N","3204N","23030","2404N","25550","1909N","17360","1674N","15590","1241N","1263.076N","1100.121N","1055N","1078.098N"
"37","33","Gilthead seabream","Sparus aurata","0N","200N","0N","200N","100N","100N","300N","2000","13000","1200N","900N","900N","1300N","1200N","1800N","2000N","2000N","2100N","2000N","23000","23340","20310","26050","19850","23070","32670","28510","35540","39960","22860","31590","29970","28460","34900","36350","37220","3715E","3202E","3622E","37420","3573E","4183E","5144N","5182E","5957E","4720E","44900","4328N","4568N","5751N","5332N","6060N","68790","69770","72710","47310","51930","47900","55760","54550","5489N","4805N","5113E","5201N","4892N","5956E","5872E","6267E","5908E","5534.915E"
"37","33","Picarels nei","Spicara spp","90000","71000","70000","78000","99000","101000","102000","100000","149000","151000","144000","152000","159000","153000","16200N","16200N","17200N","17900N","17300N","17600N","17417N","16843N","17399N","165550","166040","177820","184550","182180","164800","149360","139710","137900","150090","157790","135480","137050","12916E","14314E","14592E","158950","16428E","17447E","16668E","15599E","21621E","101680","123120","12254N","131470","93240","81920","89280","69000","70890","74510","103990","8523N","7765E","7414E","7134N","6132E","5021E","5220E","4724E","47920","2888N","2797N","2310N","2402N","2496.617N"
"37","33","Red mullet","Mullus barbatus","00","00","00","0N","0N","0N","0N","0N","1000N","1000N","1000N","1100N","1700N","10000","10000","17000","14000","2000N","1700N","21000","28000","7850","15140","16370","17080","15650","14750","19810","27160","16380","31060","34290","55060","51470","35920","57580","8854E","8254E","9544E","126330","88710","106090","97300","88750","86260","76650","78260","69570","66220","73530","62430","72080","67180","69390","69460","171210","172630","17709N","152550","162690","151350","143240","154540","139440","148010","15290N","16018N","15617N","160920","14503.815E"
"37","32","European hake","Merluccius merluccius","96000","104000","143000","122000","118000","107000","102000","106000","15400N","15700N","14100N","15000N","13400N","14900N","15100N","15500N","15900N","15900N","15800N","17300N","18483N","19941N","21302N","18637N","223200","224890","24831N","266250","250190","225300","24407E","26831E","30970N","36389E","41535E","47985E","37915E","39197E","41896E","38197E","33567E","38175E","44437N","51719E","52394E","52008E","438160","299560","265450","241440","22558N","23322N","216800","212970","218710","274340","324250","280380","27510E","297980","253740","22630E","21460E","23600E","20993E","20309E","19525.421000000002E","19079.948E","20170E","19342.35E"
"37","33","Mullets nei","Mugilidae","83000","106000","91000","108000","105000","100000","103000","106000","98000","93000","99000","118000","123000","117000","12500N","11700N","12300N","15700N","14000N","13500N","16994N","14811N","12524N","11897N","127850","12894N","135690","141620","140930","162070","157820","17296N","172320","171320","14315N","13870N","13253N","15717N","14237N","17911E","20368N","23974N","23138N","21304N","23900N","27256N","34003N","31048N","35982N","35650N","35750N","33593N","277360","240630","249300","22046E","18429E","19266N","13730N","13185N","14732E","14894E","16889N","14229E","12908E","9432E","9413.886E","6310.724E","6799E","8082.817E"
"37","33","Common pandora","Pagellus erythrinus","8000","9000","8000","8000","8000","8000","8000","8000","8000","8000","8000","10000","9000","13000","1200N","900N","1000N","1000N","1400N","1500N","3984N","3408N","4618N","4838N","50820","46920","65450","64170","66130","59700","7874E","9075E","10720E","10317E","11095E","11400E","5156E","4635E","4193E","3370E","3634E","3172E","36090","31730","22820","36930","45920","55530","48030","46220","56730","49950","49370","57500","52580","52260","46440","54130","6620E","124730","13311E","9509E","11229E","11292E","10167E","10661E","11785.546E","12397.137999999999E","11658E","11735.100999999999E"
"37","33","Common dentex","Dentex dentex","2000","100N","2000","2000","2000","2000","2000","2000","6000","8000","10000","12000","1300N","900N","1300N","1100N","1000N","2000N","1900N","2000N","1535N","1463N","1406N","1114N","11670","12020","11570","14630","15960","15070","16400","15330","14740","19740","35550","47060","4286E","3848E","3690N","33600","6825E","4175N","5305N","3039N","3302E","3061N","2287N","14580","1237N","11720","12410","7670","830N","9220","9200","965N","1014N","17520","22910","15840","1588E","1197E","1165E","1167E","1176E","1096E","1205.44E","1088.508E","999E","1031.931E"
"37","33","Bogue","Boops boops","104000","87000","83000","101000","116000","132000","140000","142000","144000","160000","16500N","162000","160000","169000","197000","207000","218000","21800N","21400N","21300N","167980","171540","180510","181450","254730","256430","270680","266630","273220","289640","265840","219560","226140","22880E","23471E","28451E","28913E","26894E","24078E","26253E","24562E","27818E","27622E","32146E","33491E","28962E","28857E","25614E","27906E","24800E","25873E","23576E","25548E","27068E","24124E","30176E","30743E","285690","32465E","290450","28783E","27789E","23972E","23550E","21057N","19917E","20497.645E","20151.779000000002N","19711N","18569.699N"
"37","33","Porgies, seabreams nei","Sparidae","600N","10000","1900N","0N","300N","300N","400N","3000","2000","2000","4000","5000","6000","5000","400N","400N","8000","1700N","24000","16000","15570","16390","24440","2447N","25030","40520","19040","51920","27600","41270","40800","38870","40140","5837E","5656E","6208E","6480E","9604E","7272E","15141E","13534E","12909E","15563E","15531E","16668E","10577E","10625E","8535E","7774E","9518E","8537E","8501E","7938E","7423E","6684E","6096E","6077N","3006E","3417E","3428E","3889E","3554N","3811E","4412E","3684N","3832N","4106N","4062N","3784N","3652.8199999999997N"
"37","33","Surmullets(=Red mullets) nei","Mullus spp","118000","101000","106000","116000","95000","125000","121000","128000","161000","147000","13800N","144000","133000","14700N","14100N","16200N","18000N","17100N","15700N","16100N","15855N","17400N","17056N","17414N","201080","181070","207110","198700","183540","187620","19013E","20562E","17571E","19573E","24832E","22765E","18821E","19286E","18452E","18014E","18891E","17700E","19636E","20083E","20164E","18859E","21706E","17360E","16986E","20814E","20535E","18234E","162760","149690","155390","75270","9417N","9733E","8463N","12636N","12599E","10465E","9392E","8529E","6779N","6787E","7380.23E","8174.604N","8220.604N","7479.829E"
"37","33","Dusky grouper","Epinephelus marginatus","00","00","1000","1000","1000","1000","1000","0N","1000","2000","4000","3000","1000","1000","6000","6000","5000","7000","7000","600N","614N","665N","8180","548N","6410","5130","5690","4860","10210","4430","5210","8590","7500","1738E","2925E","4038E","4237E","4474E","4687E","5485E","5828E","5573E","5792E","5677E","5674E","5266E","4383E","4211E","3833E","3303E","3290E","3149E","2868E","2537E","2221E","1859E","1514E","12070","17240","12680","1189E","757E","836E","821E","670E","588N","745E","846E","834E","816.425N"
"37","24","Black and Caspian Sea sprat","Clupeonella cultriventris","844000","984000","922000","1003000","779000","415000","122000","25000","28000","23000","36000","56000","87000","241000","495000","758000","909000","854000","581000","8000N","1286280","766420","958000","903220","474770","955870","316680","297810","807630","739250","770180","474180","1225670","1203630","881830","1331520","1008260","921490","320570","382030","30750","245570","47370","18090","49390","78050","14480","15220","34960","108620","120060","277770","272390","177430","145380","193730","163230","169750","183080","168700","154490","207860","92900","104670","98260","180120","218200","187850","12620.040","8451.6790"
